Declaration_Year,Disaster Type,Disaster_Count,Avg_Temp(Farenheit)
1953,Fire,1,49.15475
1953,Flood,5,49.15475
1953,Other,1,49.15475
1953,Tornado,6,49.15475
1954,Earthquake,1,48.93905
1954,Flood,7,48.93905
1954,Hurricane,7,48.93905
1954,Other,1,48.93905
1954,Tornado,1,48.93905
1955,Flood,8,47.3309
1955,Hurricane,7,47.3309
1955,Other,1,47.3309
1955,Tornado,1,47.3309
1955,Volcano,1,47.3309
1956,Fire,1,47.65985
1956,Flood,7,47.65985
1956,Hurricane,2,47.65985
1956,Other,1,47.65985
1956,Storm,3,47.65985
1956,Tornado,2,47.65985
1957,Flood,10,48.4274
1957,Hurricane,2,48.4274
1957,Other,1,48.4274
1957,Tornado,3,48.4274
1958,Flood,5,48.1463
1958,Hurricane,1,48.1463
1958,Tornado,1,48.1463
1959,Flood,6,47.8856
1959,Hurricane,1,47.8856
1960,Earthquake,1,47.64605
1960,Fire,1,47.64605
1960,Flood,3,47.64605
1960,Hurricane,2,47.64605
1960,Other,2,47.64605
1960,Storm,2,47.64605
1960,Tornado,1,47.64605
1961,Fire,1,47.5556
1961,Flood,10,47.5556
1961,Hurricane,1,47.5556
1962,Chemical,2,48.1217
1962,Flood,17,48.1217
1962,Storm,2,48.1217
1962,Typhoon,1,48.1217
1963,Dam/Levee Break,1,48.344
1963,Drought,1,48.344
1963,Flood,15,48.344
1963,Hurricane,1,48.344
1963,Typhoon,2,48.344
1964,Drought,2,47.285
1964,Earthquake,1,47.285
1964,Flood,126,47.285
1964,Hurricane,4,47.285
1964,Other,1,47.285
1964,Snow,1,47.285
1964,Typhoon,1,47.285
1965,Drought,51,47.5658
1965,Earthquake,6,47.5658
1965,Flood,198,47.5658
1965,Hurricane,56,47.5658
1965,Storm,6,47.5658
1965,Tornado,112,47.5658
1966,Flood,113,47.2694
1966,Tornado,2,47.2694
1966,Typhoon,5,47.2694
1967,Fire,10,48.0236
1967,Flood,121,48.0236
1967,Hurricane,29,48.0236
1967,Tornado,36,48.0236
1967,Typhoon,1,48.0236
1968,Flood,76,47.39585
1968,Hurricane,14,47.39585
1968,Ice,21,47.39585
1968,Tornado,50,47.39585
1968,Typhoon,1,47.39585
1969,Flood,394,47.7875
1969,Hurricane,64,47.7875
1969,Storm,1,47.7875
1969,Tornado,46,47.7875
1970,Fire,6,47.6114
1970,Flood,180,47.6114
1970,Hurricane,7,47.6114
1970,Storm,17,47.6114
