Declaration_Year,Disaster Type,Disaster Type
1953,Fire,1
1953,Flood,5
1953,Other,1
1953,Tornado,6
1954,Earthquake,1
1954,Flood,7
1954,Hurricane,7
1954,Other,1
1954,Tornado,1
1955,Flood,8
1955,Hurricane,7
1955,Other,1
1955,Tornado,1
1955,Volcano,1
1956,Fire,1
1956,Flood,7
1956,Hurricane,2
1956,Other,1
1956,Storm,3
1956,Tornado,2
1957,Flood,10
1957,Hurricane,2
1957,Other,1
1957,Tornado,3
1958,Flood,5
1958,Hurricane,1
1958,Tornado,1
1959,Flood,6
1959,Hurricane,1
1960,Earthquake,1
1960,Fire,1
1960,Flood,3
1960,Hurricane,2
1960,Other,2
1960,Storm,2
1960,Tornado,1
1961,Fire,1
1961,Flood,10
1961,Hurricane,1
1962,Chemical,2
1962,Flood,17
1962,Storm,2
1962,Typhoon,1
1963,Dam/Levee Break,1
1963,Drought,1
1963,Flood,15
1963,Hurricane,1
1963,Typhoon,2
1964,Drought,2
1964,Earthquake,1
1964,Flood,126
1964,Hurricane,4
1964,Other,1
1964,Snow,1
1964,Typhoon,1
1965,Drought,51
1965,Earthquake,6
1965,Flood,198
1965,Hurricane,56
1965,Storm,6
1965,Tornado,112
1966,Flood,113
1966,Tornado,2
1966,Typhoon,5
1967,Fire,10
1967,Flood,121
1967,Hurricane,29
1967,Tornado,36
1967,Typhoon,1
1968,Flood,76
1968,Hurricane,14
1968,Ice,21
1968,Tornado,50
1968,Typhoon,1
1969,Flood,394
1969,Hurricane,64
1969,Storm,1
1969,Tornado,46
1970,Fire,6
1970,Flood,180
1970,Hurricane,7
1970,Storm,17
1970,Tornado,11
1971,Earthquake,1
1971,Flood,108
1971,Hurricane,21
1971,Tornado,34
1971,Typhoon,1
1971,Winter,6
1972,Flood,486
1972,Snow,9
1972,Storm,15
1972,Water,16
1973,Dam/Levee Break,1
1973,Earthquake,1
1973,Fire,1
1973,Flood,580
1973,Mud/Landslide,2
1973,Storm,235
1973,Tornado,43
1974,Drought,31
1974,Flood,386
1974,Hurricane,10
1974,Other,1
1974,Storm,2
1974,Tornado,187
1974,Winter,2
1975,Earthquake,1
1975,Fire,1
1975,Flood,377
1975,Other,1
1975,Storm,58
1975,Tornado,22
1976,Drought,388
1976,Flood,123
1976,Hurricane,3
1976,Ice,27
1976,Storm,35
1976,Tornado,6
1976,Typhoon,4
1977,Drought,618
1977,Fire,1
1977,Flood,144
1977,Ice,10
1977,Snow,290
1977,Storm,10
1977,Tornado,7
1977,Winter,80
1978,Chemical,1
1978,Fire,1
1978,Flood,181
1978,Snow,200
1978,Storm,33
1978,Tornado,24
1979,Earthquake,1
1979,Flood,210
1979,Hurricane,107
1979,Snow,27
1979,Storm,71
1979,Tornado,51
1979,Typhoon,9
1980,Chemical,1
1980,Drought,21
1980,Fire,4
1980,Flood,74
1980,Human Cause,4
1980,Hurricane,12
1980,Storm,13
1980,Tornado,15
1980,Typhoon,1
1980,Volcano,47
1980,Water,8
1981,Chemical,1
1981,Fire,2
1981,Flood,33
1981,Storm,11
1981,Typhoon,5
1982,Fire,1
1982,Flood,76
1982,Storm,61
1982,Tornado,18
1982,Typhoon,2
1983,Earthquake,4
1983,Flood,101
1983,Hurricane,9
1983,Storm,89
1984,Flood,131
1984,Hurricane,9
1984,Snow,1
1984,Storm,39
1984,Tornado,73
1984,Winter,11
1985,Fire,6
1985,Flood,207
1985,Hurricane,73
1985,Snow,2
1985,Storm,2
1985,Tornado,17
1985,Winter,20
1986,Flood,280
1986,Tornado,3
1986,Typhoon,2
1987,Chemical,1
1987,Earthquake,2
1987,Fire,1
1987,Flood,105
1987,Hurricane,5
1987,Snow,9
1987,Storm,11
1987,Tornado,23
1987,Typhoon,5
1988,Fire,5
1988,Flood,6
1988,Hurricane,3
1988,Tornado,34
1988,Typhoon,3
1989,Earthquake,12
1989,Flood,205
1989,Hurricane,113
1989,Storm,89
1989,Tornado,31
1989,Winter,12
1990,Fire,4
1990,Flood,190
1990,Hurricane,5
1990,Ice,10
1990,Storm,347
1990,Tornado,3
1990,Typhoon,8
1990,Volcano,1
1990,Winter,42
1991,Fire,7
1991,Flood,302
1991,Hurricane,41
1991,Ice,82
1991,Snow,18
1991,Storm,115
1991,Tornado,12
1991,Typhoon,13
1991,Winter,33
1992,Chemical,2
1992,Drought,2
1992,Earthquake,3
1992,Fire,3
1992,Flood,153
1992,Hurricane,46
1992,Storm,109
1992,Tornado,46
1992,Typhoon,15
1993,Drought,149
1993,Earthquake,5
1993,Fire,6
1993,Flood,496
1993,Human Cause,1
1993,Hurricane,1
1993,Snow,771
1993,Storm,226
1993,Tornado,50
1994,Earthquake,3
1994,Flood,70
1994,Snow,181
1994,Storm,327
1994,Tornado,67
1994,Water,18
1994,Winter,10
1995,Flood,76
1995,Human Cause,1
1995,Hurricane,127
1995,Snow,21
1995,Storm,311
1995,Tornado,66
1996,Fire,72
1996,Flood,418
1996,Hurricane,240
1996,Other,3
1996,Snow,590
1996,Storm,299
1997,Flood,279
1997,Ice,3
1997,Snow,13
1997,Storm,589
1997,Tornado,29
1997,Typhoon,6
1998,Drought,28
1998,Fire,71
1998,Flood,159
1998,Hurricane,261
1998,Mud/Landslide,1
1998,Other,2
1998,Snow,10
1998,Storm,938
1998,Tornado,27
1999,Fire,368
1999,Flood,61
1999,Hurricane,526
1999,Ice,43
1999,Snow,156
1999,Storm,228
1999,Tornado,29
1999,Winter,8
2000,Earthquake,1
2000,Fire,259
2000,Flood,36
2000,Ice,158
2000,Other,82
2000,Snow,11
2000,Storm,514
2000,Tornado,21
2001,Earthquake,25
2001,Fire,182
2001,Flood,176
2001,Ice,119
2001,Snow,151
2001,Storm,445
2001,Terrorism,1
2001,Winter,49
2002,Earthquake,12
2002,Fire,143
2002,Flood,78
2002,Hurricane,73
2002,Ice,167
2002,Snow,1
2002,Storm,467
2002,Tornado,90
2002,Typhoon,9
2003,Fire,63
2003,Hurricane,206
2003,Ice,64
2003,Other,192
2003,Snow,125
2003,Storm,895
2003,Tornado,15
2003,Typhoon,3
2003,Winter,11
2004,Dam/Levee Break,1
2004,Earthquake,2
2004,Fire,51
2004,Flood,5
2004,Hurricane,647
2004,Ice,26
2004,Snow,59
2004,Storm,1052
2004,Typhoon,10
2005,Fire,46
2005,Flood,11
2005,Hurricane,3714
2005,Snow,247
2005,Storm,707
2005,Tornado,3
2005,Typhoon,8
2006,Earthquake,4
2006,Fire,431
2006,Flood,12
2006,Ice,7
2006,Snow,36
2006,Storm,485
2007,Drought,1
2007,Fire,97
2007,Flood,4
2007,Hurricane,32
2007,Ice,394
2007,Other,1
2007,Snow,108
2007,Storm,987
2007,Winter,16
2008,Fire,308
2008,Flood,33
2008,Hurricane,578
2008,Ice,56
2008,Snow,62
2008,Storm,1263
2009,Earthquake,5
2009,Fire,66
2009,Flood,33
2009,Hurricane,2
2009,Ice,392
2009,Other,1
2009,Snow,4
2009,Storm,757
2009,Tornado,5
2010,Earthquake,1
2010,Fire,18
2010,Flood,195
2010,Hurricane,89
2010,Ice,50
2010,Other,4
2010,Snow,205
2010,Storm,1057
2010,Tornado,16
2011,Earthquake,11
2011,Fire,334
2011,Flood,467
2011,Hurricane,539
2011,Snow,106
2011,Storm,1212
2011,Tornado,2
2011,Tsunami,9
2012,Fire,38
2012,Flood,18
2012,Hurricane,733
2012,Storm,472
2013,Fire,4
2013,Flood,234
2013,Hurricane,20
2013,Ice,8
2013,Mud/Landslide,1
2013,Other,2
2013,Snow,23
2013,Storm,404
2013,Terrorism,4
2013,Tornado,36
2013,Winter,1
2014,Chemical,9
2014,Earthquake,2
2014,Fire,6
2014,Flood,119
2014,Ice,251
2014,Mud/Landslide,5
2014,Snow,9
2014,Storm,246
2014,Tornado,6
2014,Volcano,1
2015,Fire,26
2015,Flood,171
2015,Ice,82
2015,Snow,45
2015,Storm,587
2015,Tornado,1
2015,Typhoon,4
2016,Chemical,1
2016,Fire,1
2016,Flood,407
2016,Hurricane,321
2016,Mud/Landslide,1
2016,Snow,74
2016,Storm,326
2016,Tornado,1
2017,Dam/Levee Break,3
2017,Storm,80
2017,Tornado,27
